direction,role,n,high_def
상향,며느리,30,0.2117
상향,아들,6,0.1836
부부,아내,26,0.1672
하향,재종누나,24,0.0963
부부,남편,22,0.0
상향,남동생,15,0.0
하향,다섯째 고모,4,0.0
하향,시아버지,6,0.0
하향,아버지,11,0.0
하향,어머니,43,0.0
하향,할머니,6,0.0
